"","H1","H2","H3","nABBA","nBABA","Dstat","jackEst","SE","Z","tree"
"36","mega_mega","mega_mega","toro_tent",161745,155256,0.02046997,0.02046997,0.002281672,8.971477,"torotoro & megarhyncha C"
"44","mega_mega","mega_sella","toro_tent",171446,163301,0.02433181,0.02433181,0.002616013,9.301103,"torotoro & megarhyncha C"
"45","mega_mega","mega_sella","toro_tent",161149,160043,0.003443423,0.003443423,0.002614997,1.316798,"torotoro & megarhyncha C"
"53","mega_mega","mega_mega","toro_tent",161318,155890,0.0171118,0.0171118,0.002640716,6.479986,"torotoro & megarhyncha C"
"54","mega_mega","mega_mega","toro_tent",151192,152769,-0.005188166,-0.005188166,0.002636774,1.967619,"torotoro & megarhyncha C"
"55","mega_sella","mega_mega","toro_tent",153185,155821,-0.008530579,-0.008530579,0.002371172,3.597621,"torotoro & megarhyncha H"
"63","mega_mega","mega_mega","toro_tent",173690,168889,0.01401429,0.01401429,0.002453671,5.71156,"torotoro & megarhyncha C"
"64","mega_mega","mega_mega","toro_tent",163435,165639,-0.006697582,-0.006697582,0.002441798,2.742889,"torotoro & megarhyncha C"
"65","mega_sella","mega_mega","toro_tent",161309,164141,-0.008701798,-0.008701798,0.002659813,3.271583,"torotoro & megarhyncha H"
"66","mega_mega","mega_mega","toro_tent",159592,159592,0,2.646978e-19,0.002658704,0,"torotoro & megarhyncha C"
"74","mega_mega","mega_sella","toro_tent",166749,175466,-0.02547229,-0.02547229,0.00275285,9.253063,"torotoro & megarhyncha C"
"75","mega_mega","mega_sella","toro_tent",156227,171833,-0.04757057,-0.04757057,0.002667565,17.83295,"torotoro & megarhyncha C"
"76","mega_sella","mega_sella","toro_tent",160644,177983,-0.05120383,-0.05120383,0.003002401,17.05429,"torotoro & megarhyncha H"
"77","mega_mega","mega_sella","toro_tent",154277,168349,-0.04361707,-0.04361707,0.003030141,14.3944,"torotoro & megarhyncha C"
"78","mega_mega","mega_sella","toro_tent",165064,179698,-0.04244667,-0.04244667,0.002690079,15.77897,"torotoro & megarhyncha C"
"86","mega_mega","mega_wellsi","toro_tent",91505,88283,0.01792111,0.01792111,0.003438449,5.211974,"torotoro & megarhyncha C"
"87","mega_mega","mega_wellsi","toro_tent",85453,86326,-0.005082111,-0.005082111,0.003480033,1.460363,"torotoro & megarhyncha C"
"89","mega_mega","mega_wellsi","toro_tent",85960,85404,0.003244555,0.003244555,0.00343147,0.9455294,"torotoro & megarhyncha C"
"90","mega_mega","mega_wellsi","toro_tent",93106,93028,0.0004190529,0.0004190529,0.003531816,0.1186509,"torotoro & megarhyncha C"
"99","mega_mega","ochr","toro_tent",72184,89295,-0.1059642,-0.1059642,0.003340355,31.72245,"torotoro & megarhyncha C"
"100","mega_mega","ochr","toro_tent",67473,87423,-0.1287961,-0.1287961,0.003294349,39.09607,"torotoro & megarhyncha C"
"101","mega_sella","ochr","toro_tent",69580,91458,-0.1358561,-0.1358561,0.003022708,44.94518,"torotoro & megarhyncha H"
"102","mega_mega","ochr","toro_tent",66765,85618,-0.1237211,-0.1237211,0.003215393,38.47777,"torotoro & megarhyncha C"
"103","mega_mega","ochr","toro_tent",71960,93158,-0.1283809,-0.1283809,0.003215022,39.93158,"torotoro & megarhyncha C"
"104","mega_sella","ochr","toro_tent",72954,88441,-0.09595712,-0.09595712,0.003681198,26.06682,"torotoro & megarhyncha H"
"105","mega_wellsi","ochr","toro_tent",39036,48560,-0.1087264,-0.1087264,0.004305725,25.2516,"torotoro & megarhyncha W"
"113","mega_mega","mega_sella","toro_tent",150543,152012,-0.004855316,-0.004855316,0.002683867,1.809075,"torotoro & megarhyncha C"
