"","value","parameter"
"1",469407.272101674,"T0"
"2",461949.360011263,"T0"
"3",456940.685123418,"T0"
"4",459524.504264144,"T0"
"5",458968.103803868,"T0"
"6",468524.495422835,"T0"
"7",452100.461933464,"T0"
"8",464361.458235763,"T0"
"9",457083.230752588,"T0"
"10",460650.702952975,"T0"
"11",460403.076334876,"T0"
"12",455575.481735336,"T0"
"13",464360.32277592,"T0"
"14",452989.0824525,"T0"
"15",460177.713931427,"T0"
"16",464472.755651271,"T0"
"17",462955.936984189,"T0"
"18",463502.853131709,"T0"
"19",451413.428614744,"T0"
"20",452662.250602441,"T0"
"21",474891.647265343,"T0"
"22",462971.127965058,"T0"
"23",462636.610336725,"T0"
"24",458341.190482921,"T0"
"25",458221.083930578,"T0"
"26",457378.748991398,"T0"
"27",462766.514370026,"T0"
"28",471306.443283787,"T0"
"29",452987.841143875,"T0"
"30",463066.140564021,"T0"
"31",456749.894685991,"T0"
"32",466546.90828799,"T0"
"33",456561.470549298,"T0"
"34",455583.051547961,"T0"
"35",452904.540279626,"T0"
"36",463140.193846775,"T0"
"37",455506.068756829,"T0"
"38",447203.568514349,"T0"
"39",457782.182592081,"T0"
"40",447570.205216472,"T0"
"41",457950.374842304,"T0"
"42",449781.682112224,"T0"
"43",455286.485311525,"T0"
"44",456757.734734645,"T0"
"45",460729.55413782,"T0"
"46",446778.274051165,"T0"
"47",459051.873427959,"T0"
"48",464280.559429313,"T0"
"49",455014.009526006,"T0"
"50",470708.806463727,"T0"
"51",463259.800960461,"T0"
"52",455993.282465004,"T0"
"53",460492.587122722,"T0"
"54",458415.022027009,"T0"
"55",453205.705857703,"T0"
"56",461567.005808865,"T0"
"57",457794.914317812,"T0"
"58",463981.197521152,"T0"
"59",447574.887251234,"T0"
"60",459308.871378298,"T0"
"61",462776.868236234,"T0"
"62",461039.258911642,"T0"
"63",466438.048919455,"T0"
"64",461879.80750204,"T0"
"65",457624.966968861,"T0"
"66",463007.322464327,"T0"
"67",455149.938732673,"T0"
"68",459331.489069761,"T0"
"69",460505.24464655,"T0"
"70",460063.024910314,"T0"
"71",452636.086345054,"T0"
"72",457096.625978314,"T0"
"73",450241.116267,"T0"
"74",446131.789254848,"T0"
"75",449353.670210588,"T0"
"76",449202.817898382,"T0"
"77",464199.744436578,"T0"
"78",456516.660594315,"T0"
"79",466243.02146045,"T0"
"80",442986.279699067,"T0"
"81",455838.146716074,"T0"
"82",462689.294260701,"T0"
"83",463815.583101376,"T0"
"84",448612.449492975,"T0"
"85",453407.007219944,"T0"
"86",461011.689278424,"T0"
"87",453909.097290833,"T0"
"88",471683.465316884,"T0"
"89",456548.536200725,"T0"
"90",461914.031323399,"T0"
"91",456551.541336622,"T0"
"92",462922.480303654,"T0"
"93",465172.272207568,"T0"
"94",461158.79457291,"T0"
"95",458754.830736273,"T0"
"96",455946.262545375,"T0"
"97",452664.436364999,"T0"
"98",469324.170346573,"T0"
"99",460374.644087363,"T0"
"100",459318.312714658,"T0"
"101",453821.841478993,"T0"
"102",466552.025955988,"T0"
"103",456109.774085021,"T0"
"104",451739.059901315,"T0"
"105",462872.520233873,"T0"
"106",454810.621435472,"T0"
"107",448870.685990855,"T0"
"108",463770.501019683,"T0"
"109",465713.557076793,"T0"
"110",452068.532148422,"T0"
"111",465618.479963247,"T0"
"112",454375.463111272,"T0"
"113",454398.429236463,"T0"
"114",452048.784483497,"T0"
"115",466152.859943563,"T0"
"116",454779.829339535,"T0"
"117",452752.139372587,"T0"
"118",456807.386078321,"T0"
"119",453675.724388897,"T0"
"120",461598.327287155,"T0"
"121",460612.828357311,"T0"
"122",458425.161938234,"T0"
"123",456780.832724482,"T0"
"124",464631.676899059,"T0"
"125",465444.12668833,"T0"
"126",457053.741331164,"T0"
"127",455730.805738894,"T0"
"128",451848.493665819,"T0"
"129",460143.454435112,"T0"
"130",460509.396036521,"T0"
"131",463727.43677787,"T0"
"132",452186.427998082,"T0"
"133",456054.868125038,"T0"
"134",455726.820623317,"T0"
"135",466970.265217343,"T0"
"136",460739.188271869,"T0"
"137",470684.873561368,"T0"
"138",458165.076560454,"T0"
"139",455543.318997903,"T0"
"140",447661.263575858,"T0"
"141",468173.998805835,"T0"
"142",464856.034047827,"T0"
"143",460012.45460435,"T0"
"144",473776.87486716,"T0"
"145",461116.398356186,"T0"
"146",451567.295952879,"T0"
"147",451446.699879078,"T0"
"148",453749.657212986,"T0"
"149",457922.164977251,"T0"
"150",451884.714671228,"T0"
"151",461449.056937192,"T0"
"152",462299.35646909,"T0"
"153",451223.19904526,"T0"
"154",450974.078792376,"T0"
"155",452477.284177195,"T0"
"156",460538.844226355,"T0"
"157",455571.758295236,"T0"
"158",450570.350113046,"T0"
"159",450828.63513584,"T0"
"160",448589.989198223,"T0"
"161",460297.025125422,"T0"
"162",453452.61108936,"T0"
"163",464248.815717563,"T0"
"164",459988.626766576,"T0"
"165",451160.601192336,"T0"
"166",457732.289351352,"T0"
"167",449683.063183515,"T0"
"168",459065.715938713,"T0"
"169",455304.518416292,"T0"
"170",450131.552570427,"T0"
"171",462583.525006215,"T0"
"172",458554.688025454,"T0"
"173",469340.088010659,"T0"
"174",475425.198768364,"T0"
"175",461973.27080682,"T0"
"176",456656.393019482,"T0"
"177",458419.819781348,"T0"
"178",454070.076172635,"T0"
"179",472555.587387436,"T0"
"180",464904.632163533,"T0"
"181",454527.038295607,"T0"
"182",466527.403675031,"T0"
"183",461234.682126111,"T0"
"184",466328.022171666,"T0"
"185",456028.567992351,"T0"
"186",458947.636003206,"T0"
"187",460664.385419115,"T0"
"188",465028.127649978,"T0"
"189",455792.798048439,"T0"
"190",447828.843633503,"T0"
"191",468095.972346015,"T0"
"192",454653.939118868,"T0"
"193",457043.64810879,"T0"
"194",455466.996301493,"T0"
"195",459059.062377518,"T0"
"196",451295.411731365,"T0"
"197",464391.892164211,"T0"
"198",448742.766906928,"T0"
"199",448093.697375069,"T0"
"200",458207.016962217,"T0"
"201",198631.156417015,"T1"
"202",188582.485884943,"T1"
"203",189579.157036718,"T1"
"204",194948.483306842,"T1"
"205",190393.07380315,"T1"
"206",198412.769891185,"T1"
"207",188206.784099016,"T1"
"208",191683.933784307,"T1"
"209",195578.35881636,"T1"
"210",196654.374538104,"T1"
"211",193242.704526004,"T1"
"212",196219.589547209,"T1"
"213",194392.761749155,"T1"
"214",189824.390522115,"T1"
"215",197555.286918531,"T1"
"216",193333.840765623,"T1"
"217",197049.2624851,"T1"
"218",190806.037978139,"T1"
"219",188612.383627673,"T1"
"220",159213.812161065,"T1"
"221",206654.958466439,"T1"
"222",195863.035647493,"T1"
"223",189524.485539357,"T1"
"224",195688.58923259,"T1"
"225",192477.439669803,"T1"
"226",191941.250360751,"T1"
"227",196365.710042264,"T1"
"228",191542.163559453,"T1"
"229",193428.063958458,"T1"
"230",193632.123130522,"T1"
"231",192670.770666172,"T1"
"232",193375.270684472,"T1"
"233",198072.420124471,"T1"
"234",197311.620052831,"T1"
"235",186657.823036118,"T1"
"236",192820.884912347,"T1"
"237",193043.477380794,"T1"
"238",187753.479549989,"T1"
"239",193610.083942473,"T1"
"240",186861.131735703,"T1"
"241",190928.75637535,"T1"
"242",188284.501549507,"T1"
"243",189184.680527569,"T1"
"244",192019.468817545,"T1"
"245",188095.923816407,"T1"
"246",188422.726724728,"T1"
"247",193065.419273208,"T1"
"248",198992.32489938,"T1"
"249",189965.873501101,"T1"
"250",195699.983213411,"T1"
"251",193813.824523354,"T1"
"252",191040.771789028,"T1"
"253",196044.167496223,"T1"
"254",186850.906211113,"T1"
"255",186126.782217493,"T1"
"256",191795.420942596,"T1"
"257",189954.93198591,"T1"
"258",199619.52727166,"T1"
"259",156756.889685853,"T1"
"260",151486.980610854,"T1"
"261",199289.189609362,"T1"
"262",192140.62673062,"T1"
"263",198698.899219079,"T1"
