"","value","parameter"
"1",370932.912975279,"nMeg"
"2",364738.757310256,"nMeg"
"3",370757.583551538,"nMeg"
"4",372307.996277627,"nMeg"
"5",364435.134798205,"nMeg"
"6",381757.100751711,"nMeg"
"7",364699.206729484,"nMeg"
"8",369339.58479048,"nMeg"
"9",369589.891974552,"nMeg"
"10",372527.452961736,"nMeg"
"11",365276.66696838,"nMeg"
"12",366865.28093405,"nMeg"
"13",368215.726137901,"nMeg"
"14",359590.850887605,"nMeg"
"15",370970.967154981,"nMeg"
"16",369701.747882014,"nMeg"
"17",364967.463642825,"nMeg"
"18",364848.403964396,"nMeg"
"19",363925.158805161,"nMeg"
"20",401818.89097143,"nMeg"
"21",346206.336317698,"nMeg"
"22",371480.161836993,"nMeg"
"23",369217.724110367,"nMeg"
"24",372772.220211659,"nMeg"
"25",366239.076079314,"nMeg"
"26",360378.611252937,"nMeg"
"27",364981.924783202,"nMeg"
"28",372162.455484835,"nMeg"
"29",374934.371981721,"nMeg"
"30",368083.68247688,"nMeg"
"31",363818.995283205,"nMeg"
"32",368710.820627277,"nMeg"
"33",374872.47010203,"nMeg"
"34",371946.360222319,"nMeg"
"35",362697.307743316,"nMeg"
"36",365237.39127411,"nMeg"
"37",367789.405903951,"nMeg"
"38",358310.457575345,"nMeg"
"39",368976.167906806,"nMeg"
"40",357881.349086718,"nMeg"
"41",366454.515744559,"nMeg"
"42",359850.558049836,"nMeg"
"43",361316.656357152,"nMeg"
"44",371027.196065371,"nMeg"
"45",360907.463082959,"nMeg"
"46",365553.320997363,"nMeg"
"47",369750.609825167,"nMeg"
"48",372545.462652424,"nMeg"
"49",370099.762755364,"nMeg"
"50",377148.812799903,"nMeg"
"51",367880.980124677,"nMeg"
"52",369817.675221311,"nMeg"
"53",371733.666332873,"nMeg"
"54",361162.125235175,"nMeg"
"55",358260.351520714,"nMeg"
"56",366113.852151144,"nMeg"
"57",362120.033928665,"nMeg"
"58",373907.209650938,"nMeg"
"59",396043.708273852,"nMeg"
"60",401424.613456371,"nMeg"
"61",379370.053563858,"nMeg"
"62",362127.834892439,"nMeg"
"63",375580.640216094,"nMeg"
"64",360435.315147465,"nMeg"
"65",363489.942381575,"nMeg"
"66",371299.856164273,"nMeg"
"67",367263.368995037,"nMeg"
"68",370507.334361906,"nMeg"
"69",364276.064033962,"nMeg"
"70",409470.411679528,"nMeg"
"71",364684.285008937,"nMeg"
"72",368974.101835604,"nMeg"
"73",360125.915156455,"nMeg"
"74",367468.738280684,"nMeg"
"75",362461.778444589,"nMeg"
"76",351494.026292585,"nMeg"
"77",375420.385178633,"nMeg"
"78",358735.390308027,"nMeg"
"79",379793.965634693,"nMeg"
"80",388351.966297541,"nMeg"
"81",365098.653619801,"nMeg"
"82",366824.501787084,"nMeg"
"83",365022.454660609,"nMeg"
"84",355181.873544609,"nMeg"
"85",363997.088311176,"nMeg"
"86",365128.994047674,"nMeg"
"87",367994.965015047,"nMeg"
"88",373174.138888707,"nMeg"
"89",363210.613432896,"nMeg"
"90",375504.303644357,"nMeg"
"91",361409.80711828,"nMeg"
"92",374706.960397303,"nMeg"
"93",371245.886132302,"nMeg"
"94",376857.348992647,"nMeg"
