"","X","sound.files","selec","start","end","SNR"
"1",1,"syma_megarhyncha_164553_44k.wav",1,27.79216135,28.48429305,1.13332802944764
"2",2,"syma_megarhyncha_164553_44k.wav",2,28.64263776,29.19229777,1.04203614779493
"3",3,"syma_megarhyncha_166983_44k.wav",1,8.225467972,9.288597627,1.63163877880723
"4",4,"syma_megarhyncha_166983_44k.wav",2,9.433268884,10.05741878,1.59041133916405
"6",6,"syma_megarhyncha_166983_44k.wav",4,13.55653575,15.442024,2.87734692331446
"8",8,"syma_megarhyncha_166983_44k.wav",6,22.33159577,26.35155194,2.18494984822993
"9",9,"syma_megarhyncha_166983_44k.wav",7,30.41361698,37.94643163,2.09930444983264
"13",13,"syma_megarhyncha_166991_44k.wav",1,6.654379612,13.73699072,2.71530402247293
"14",14,"syma_megarhyncha_167057_44k.wav",1,4.416916742,5.027143588,1.52172576435762
"24",24,"syma_megarhyncha_167057_44k.wav",11,57.06685637,58.77769562,1.52425988898005
"37",37,"syma_megarhyncha_167057_44k.wav",24,102.6164775,103.1596749,1.93509175222172
"42",42,"syma_megarhyncha_167057_44k.wav",29,113.3729417,114.9927151,1.71067229257226
"46",46,"syma_megarhyncha_167057_44k.wav",33,125.9621952,128.2286581,2.18898749163858
"55",55,"syma_megarhyncha_167059_44k.wav",2,11.71667258,13.55594789,2.20300227955349
"56",56,"syma_megarhyncha_167059_44k.wav",3,16.98640313,22.47713153,1.9394973156029
"58",58,"syma_megarhyncha_167059_44k.wav",5,24.97332326,25.73191775,2.3474185919283
"59",59,"syma_megarhyncha_167059_44k.wav",6,26.6810112,28.19867636,1.82173110558847
"60",60,"syma_megarhyncha_167059_44k.wav",7,28.21244054,30.35346203,3.32587807490378
"61",61,"syma_megarhyncha_168367_44k.wav",1,6.87426731,8.516037038,2.13078626815914
"62",62,"syma_megarhyncha_168367_44k.wav",2,13.28955474,17.45901312,1.38384537806404
"63",63,"syma_megarhyncha_168367_44k.wav",3,31.02684468,34.78219849,1.8565543732926
"64",64,"syma_megarhyncha_182638_44k.wav",1,7.795716735,9.219617409,6.92534774349919
"65",65,"syma_megarhyncha_182638_44k.wav",2,15.92685308,17.30785124,5.81012745240095
"67",67,"syma_megarhyncha_182638_44k.wav",4,28.61155094,29.92266246,6.59918955971355
"68",68,"syma_megarhyncha_182638_44k.wav",5,33.68434165,35.11320831,5.89998788164896
"69",69,"syma_megarhyncha_182638_44k.wav",6,38.67116861,40.15921897,5.46111488470658
"72",72,"syma_megarhyncha_182678_44k.wav",1,11.34873347,12.80286087,2.13872629914834
"73",73,"syma_megarhyncha_182678_44k.wav",2,21.74313559,23.02923574,1.6771396711455
