museum,sample,year,sp,ssp,locality,prep_ID,lat,long,order,qubit,coverage,sequencing_strategy
YPM,91444,1969,megarhyncha,sellamontis,"Huon, PNG",EL1_mega,-7.3667,146.6667,1,90.9,10.2474,WGS
AMNH,302859,1930,megarhyncha,wellsi,"Mt. Derimapa, WP",EL4_mega,-3.63,134.93,4,18.9,2.21967,WGS
AMNH,329540,1928,torotoro,ochracea,"Fergusson Is, PNG",EL5_ochr,-9.5,150.666667,5,6.93,2.00371,WGS
AMNH,339957,1939,megarhyncha,wellsi,"Bernhard Camp, WP",EL6_mega,-4.04,137.07,6,19.4,2.23675,WGS
AMNH,426095,1936,torotoro,flavirostris,"Fly River, PNG",EL8_toro,-8.25,142.98,8,6.72,2.83649,WGS
AMNH,426121,1937,torotoro,meeki,"Wassi Kussi R, PNG",EL9_toro,-9.166667,142.066667,9,13.1,2.43389,WGS
AMNH,637460,1900,torotoro,tentelare,Aru is,EL10_toro,-5.95,134.57,10,6.88,5.51163,WGS
AMNH,637471,1899,torotoro,meeki,simbang,EL11_toro,-6.56,147.82,11,9.92,2.38898,WGS
AMNH,637511,1913,torotoro,flavirostris,Cape York,EL13_toro,-12.576589,143.3037,13,6.71,8.08111,WGS
AMNH,808986,1965,megarhyncha,megarhyncha,Okapa,EL18_mega,-6.516667,145.616667,18,44.6,10.6132,WGS
ANWC,B02192,1963,megarhyncha,megrhyncha,Western PNG,EL19_mega,-5.9917,144.6167,19,69.2,2.52642,WGS
ANWC,B04293,1966,megarhyncha,megarhyncha,Morobe,EL20_mega,-5.873333333,146.7183333,20,47.1,6.64783,WGS
ANWC,B07499,1966,torotoro,torotoro,East Sepik,EL21_toro,-3.683,143.633,21,18,6.7872,WGS
ANWC,B25307,1973,megarhyncha,megarhyncha,Wagau,EL23_mega,-6.8,146.8,23,86.3,9.34637,WGS
ANWC,B26140,1973,megarhyncha,sellamontis,Huon,EL24_mega,-6.4583,147.4333,24,80.1,2.69099,WGS
AMNH,301861,1931,megarhyncha,wellsi,Weylendgep Kunupi,EL27_mega,-3.92,135.65,27,12.75,11.0818,WGS
AMNH,329539,1928,torotoro,ochracea,Fergusson Is,EL29_ochr,-9.5,150.666667,29,6.4,8.66904,WGS
AMNH,426096,1936,torotoro,flavirostris,Fly River,EL32_toro,-8.25,142.98,32,17.2,2.67085,WGS
ANWC,B07293,1966,torotoro,torotoro,E. Sepik,EL39_toro,-3.683,143.633,39,15.6,11.4052,WGS
ANWC,B25652,1973,megarhyncha,sellamontis,Huon,EL40_mega,-6.4583,147.4333,40,41.5,2.21582,WGS
KU,5215,2003,torotoro,pseuestes,"Gulf Province, Ivimka Camp, PNG",EL41_toro,-7.73,146.5,41,71.6,2.52642,hyRAD
KU,5464,2003,torotoro,pseuestes,"Gulf Province, Sapoa Camp, PNG",EL42_toro,-6.92,144.96,42,51.8,1.91992,hyRAD
KU,6927,2011,torotoro,meeki,"Oro Province, Mt. Suckling, PNG",EL43_toro,-9.67,149.01,43,37,2.21967,hyRAD
CAS,7131,2002,torotoro,pseuestes,"Gulf Province, Dark End Camp, PNG",EL44_toro,-7.07,144.31,44,31.8,8.29945,hyRAD
KU,626,2011,torotoro,meeki,"Varirata NP, PNG",EL45_toro,-9.45,147.34,45,43,8.8642,hyRAD
AMNH,637445,2003,torotoro,torotoro,"East Sepik, Gahom Camp, PNG",EL46_toro,-4.62,142.75,46,10.1,2.72963,hyRAD
AMNH,329542,1928,torotoro,torotoro,"Wasior, WP",EL47_toro,-2.72,134.5,47,3.66,2.38898,hyRAD
AMNH,637464,1934,torotoro,ochracea,"Sewa Bay, Normanby Island",EL48_ochr,-10.03,150.98,48,3.84,2.37287,hyRAD
AMNH,637450,1896,torotoro,tentelare,"Wannambai, Kobror Is, Aru islands, WP",EL49_toro,-5.95,134.57,49,10.2,3.13028,hyRAD
AMNH,637429,1928,torotoro,torotoro,"Hollandia, Humbolt Bay, WP",EL50_toro,-2.56,140.7,50,0.714,5.94763,hyRAD
AMNH,300723,1900,torotoro,torotoro,"Misol Is, WP",EL51_toro,-1.87,130.17,51,2.54,5.70215,hyRAD
AMNH,637446,1900,torotoro,torotoro,"Waigeu Is, WP",EL52_toro,-0.23,130.75,52,0.846,2.55164,hyRAD
AMNH,300723,1897,torotoro,torotoro,"Kepaur, WP",EL53_toro,-2.92,132.3,53,1.07,2.33299,hyRAD
NHMUK,1911.12.20.823,1913,torotoro,pseuestes,"Parimau, Mimika River, WP",EL54_toro,-4.31,136.51,54,1.49,5.00778,hyRAD
NHMUK,1911.12.20.822,1911,torotoro,pseuestes,"Satakwa River, Canoe Camp, WP",EL55_toro,-4.78,137.34,55,0.584,2.77603,hyRAD
AMNH,437798,1877,torotoro,torotoro,"Amberbaki, WP",EL56_toro,-0.57,133.13,56,1.84,8.01169,hyRAD
AMNH,637441,1899,torotoro,torotoro,"Mt. Mori (Maori), Arfak Mountains, WP",EL57_toro,-1.3,134.16,57,7.36,5.9953,hyRAD
AMNH,637464,1900,torotoro,tentelare,"Wannambai, Kobror Is, Aru islands, WP",EL58_toro,-5.95,134.57,58,2.94,12.1158,hyRAD
AMNH,293714,1928,torotoro,torotoro,"Ifaar (near Jayapyura), WP",EL59_toro,-2.57,140.52,59,0.124,9.34637,hyRAD
AMNH,293715,1928,torotoro,torotoro,"Kepaur, WP",EL60_toro,-2.72,134.5,60,0.15,8.66904,hyRAD
