"","PC1","PC2","PC3","PC4","PC5","PC6","Family","english_name","three_species_model","scientific_name","subspecies","collection","include","number","date","sex","locality","elevation","region","bill_from_nostril","bill_width","bill_depth","tarsus","wing_chord","tail_length","comments"
"1",-1.73776021669578,0.466123108129642,1.38863767268414,-0.00598496513878188,-0.0954333226448531,0.210461583775031,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637551","12/24/05","f","Sattelbeng, Huon Gulf","",NA,37.45,11.84,13.06,14.16,81,62,"Orange head"
"2",-2.58965292707492,0.170788477050849,-0.0126553981372537,0.43670484088549,0.512218786662364,-0.29590187198896,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","808986","6/19/65","f","Awande near Okapa EHD","",NA,37.61,11.62,12.67,14.13,89,69,""
"3",-2.02278928443335,0.294363840272926,0.743936419210929,-0.200306459849863,-1.01021225018234,-0.299692228191719,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637550","3/18/08","f","Hydrographer Mts., W of Dyke Acland Bay, SE NG","",NA,35.52,12.72,12.74,14.2,82,65,""
"4",-1.89049740045387,-0.30795618719201,0.546177015548396,-0.260293014234702,-0.48822856412093,0.0680826281663607,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637539","2/14/06","f","Bihagi, head of Mambare River","",NA,35.86,12.03,12.57,14.74,81,67,""
"5",-1.29218534867144,-1.04916844618142,-0.611653709393636,-0.406792901262996,-0.0478123161910798,-0.0514017532798962,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637548","1/18/18","f","Bihagi, head of Mambare River","",NA,34.65,11.32,11.49,14.82,81,72,""
"6",-0.96040971218964,-0.304822761710427,0.964478271133949,0.570553902781666,-0.523824881393535,-0.263639637977988,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","329548","12/24/28","f","Papua - Mtlamington dest","",NA,33.79,11.49,12.52,14.44,82,62,""
"7",-2.23142230231673,0.539191939818138,-0.0787284093929935,0.567719653316823,-0.53495511989526,0.197333644072161,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637546","1/28/18","m","Hydrographer Mts., W of Dyke Acland Bay, SE NG","",NA,35.57,12,13.27,13.43,85,69,""
"8",-1.83456007083779,0.684128958163168,0.841689178058868,0.0329685816907932,0.290578757171503,0.103429010269345,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637535","3/28/03","m","Avena, Aroa River, PNG","",NA,38.06,11.67,12.78,13.7,83,64,""
"9",-1.97712799795279,0.281585044844481,0.349795875752201,-0.233027309487518,0.0362420060551788,0.507404891959741,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637544","3/14/18","m","Hydrographer Mts., W of Dyke Acland Bay, SE NG","",NA,37.56,11.71,12.81,13.96,81,68,""
"10",-0.881857980254057,0.255684091521739,0.383641997085447,0.307633318731942,-0.0579053935186208,0.435419159962567,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637547","4/13/18","f","Hydrographer Mts., W of Dyke Acland Bay, SE NG","",NA,35.3,11.14,12.56,13.48,80,65,""
"11",-2.31491050756781,-0.558170392902607,-0.41888184376779,0.329704022508807,-0.8465976962841,-0.113549179787281,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637545","1/16/18","m","Hydrographer Mts., W of Dyke Acland Bay, SE NG","762",NA,34.05,12.12,12.73,14.6,85,72,""
"12",-1.48416076975789,-1.05965881428992,-0.506014767934022,-0.024474450665468,-0.682545515610105,0.118377021965394,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637542","2/19/18","f","Hydrographer Mts., W of Dyke Acland Bay, SE NG","762",NA,33.42,11.59,12.11,14.85,81,72,""
"13",-1.46406490606844,0.167603195776997,0.437034267862421,0.546447960061125,-0.0315074446638842,-0.057112223835517,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637534","3/16/03","m","Avena, Aroa River, PNG","",NA,35.47,11.41,12.65,13.84,84,65,""
"14",-1.64090534874091,-0.535949531213028,0.892610377583537,0.358551346613804,-0.0162649193740796,-0.286902753832275,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637537","3/19/05","m","Aicora, Northern British NG","",NA,35.48,11.48,12.51,15.03,84,64,""
"16",-1.01450283526872,0.0406177083510795,-0.184165875872165,-0.433117575484033,-0.0341361229347197,0.000363983238802212,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","n/a","10/20/28","f","65 mi NE of Yule Is, Brit NG","1220-1525",NA,35.69,11.5,11.68,13.67,80,68,""
"17",-2.0465341705479,-1.36053928982056,-0.633046052593079,0.277390524482478,0.37440795777341,0.184549742115235,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637538","10/4/05","m","Aicora, Northern British NG","",NA,35.23,10.96,12.21,15.37,85,74,""
"18",-3.49115197735819,-0.42909593425906,-0.0487334526267382,-0.273669898744065,0.322052137458924,0.366995522438933,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637540","8/30/1898","m","Kotoi dish, Brit NG","1525",NA,39.06,12.01,13.12,15.26,86,74,""
"19",-2.94511989139272,-1.38845630055132,3.82328226327111e-05,0.738500027732027,0.0767733850541074,0.412579857251413,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637536","7/10/1898","f","Mt. Senatehley, Brit NG","",NA,35.65,11.29,13.42,16.03,87,73,""
"20",-3.069265148479,0.228625731839389,0.215968233157999,0.0176319045307806,0.398475339711837,0.0841469077528726,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","419861","11/3/33","m","Mafulu CD","1250",NA,38.98,11.96,13.06,14.41,87,70,""
"21",-2.64910860712338,-0.248908009471888,0.792185023939852,-0.20681812036004,0.523264351015098,-0.0401045037787291,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","829547","5/31/29","m","Yule Is","",NA,38.85,11.76,12.71,15.17,85,67,""
"23",-1.74658200945573,0.78099125183491,-1.21240781369672,0.292654910739175,0.378165935327775,0.619628005012819,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","419860","10/28/33","m","Mafulu CD","1250",NA,36.71,11.17,12.51,12.51,84,74,""
