,prep_ID,museum,sample,year,sp,ssp,locality,lat,long,order,qubit,coverage,sequencing_strategy,elevation,PC1,PC2,PC3
1,EL1_mega,YPM,91444,1969,megarhyncha,sellamontis,"Huon, PNG",-7.3667,146.6667,1,90.9,10.2474,WGS,2161,15.75452383,1.563390376,0.806974425
2,EL10_toro,AMNH,637460,1900,torotoro,tentelare,Aru is,-5.95,134.57,10,6.88,5.51163,WGS,44,-6.632038719,3.077332428,-1.744652772
3,EL11_toro,AMNH,637471,1899,torotoro,meeki,simbang,-6.56,147.82,11,9.92,2.38898,WGS,210,-1.89088251,4.331519309,-8.018664369
4,EL13_toro,AMNH,637511,1913,torotoro,flavirostris,Cape York,-12.576589,143.3037,13,6.71,8.08111,WGS,47,-2.495143862,3.965553485,-9.38160027
5,EL18_mega,AMNH,808986,1965,megarhyncha,megarhyncha,Okapa,-6.516667,145.616667,18,44.6,10.6132,WGS,1892,14.58696791,0.619829633,1.192657522
6,EL19_mega,ANWC,B02192,1963,megarhyncha,megrhyncha,Western PNG,-5.9917,144.6167,19,69.2,2.52642,WGS,2647,14.79508033,1.579246148,0.769159136
7,EL20_mega,ANWC,B04293,1966,megarhyncha,megarhyncha,Morobe,-5.873333333,146.7183333,20,47.1,6.64783,WGS,1025,13.92867373,0.61238061,0.772554558
8,EL21_toro,ANWC,B07499,1966,torotoro,torotoro,East Sepik,-3.683,143.633,21,18,6.7872,WGS,335,-5.729901496,2.899637366,-2.783396773
9,EL23_mega,ANWC,B25307,1973,megarhyncha,megarhyncha,Wagau,-6.8,146.8,23,86.3,9.34637,WGS,1280,14.79726067,0.927914214,0.673688049
10,EL24_mega,ANWC,B26140,1973,megarhyncha,sellamontis,Huon,-6.4583,147.4333,24,80.1,2.69099,WGS,1458,13.95453826,1.767811363,0.450046733
11,EL27_mega,AMNH,301861,1931,megarhyncha,wellsi,Weylendgep Kunupi,-3.92,135.65,27,12.75,11.0818,WGS,3000,23.50394534,17.14142545,11.34665415
12,EL29_ochr,AMNH,329539,1928,torotoro,ochracea,Fergusson Is,-9.5,150.666667,29,6.4,8.66904,WGS,85,15.16316098,-24.67980174,-9.02271682
13,EL32_toro,AMNH,426096,1936,torotoro,flavirostris,Fly River,-8.25,142.98,32,17.2,2.67085,WGS,16,-1.2314615,1.884504259,-1.948127828
14,EL39_toro,ANWC,B07293,1966,torotoro,torotoro,E. Sepik,-3.683,143.633,39,15.6,11.4052,WGS,335,-5.045474516,3.758694002,-4.305654265
15,EL4_mega,AMNH,302859,1930,megarhyncha,wellsi,"Mt. Derimapa, WP",-3.63,134.93,4,18.9,2.21967,WGS,43,17.56405794,0.016771481,2.729401343
16,EL40_mega,ANWC,B25652,1973,megarhyncha,sellamontis,Huon,-6.4583,147.4333,40,41.5,2.21582,WGS,1458,18.36561374,2.99471754,0.223739529
17,EL41_toro,KU,5215,2003,torotoro,pseuestes,"Gulf Province, Ivimka Camp, PNG",-7.73,146.5,41,71.6,2.52642,hyRAD,149,-8.67503472,1.254631356,-1.028491879
18,EL42_toro,KU,5464,2003,torotoro,pseuestes,"Gulf Province, Sapoa Camp, PNG",-6.92,144.96,42,51.8,1.91992,hyRAD,59,-8.666135672,1.463351714,-0.678689551
19,EL43_toro,KU,6927,2011,torotoro,meeki,"Oro Province, Mt. Suckling, PNG",-9.67,149.01,43,37,2.21967,hyRAD,3382,-4.00022834,1.384443813,-5.543283186
20,EL44_toro,CAS,7131,2002,torotoro,pseuestes,"Gulf Province, Dark End Camp, PNG",-7.07,144.31,44,31.8,8.29945,hyRAD,38,-9.955845285,2.934437753,-2.339345607
21,EL45_toro,KU,626,2011,torotoro,meeki,"Varirata NP, PNG",-9.45,147.34,45,43,8.8642,hyRAD,233,-9.322373273,0.802078898,-2.698380701
22,EL46_toro,AMNH,637445,2003,torotoro,torotoro,"East Sepik, Gahom Camp, PNG",-4.62,142.75,46,10.1,2.72963,hyRAD,73,-8.432113064,1.319711791,-1.996524813
23,EL47_toro,AMNH,329542,1928,torotoro,torotoro,"Wasior, WP",-2.72,134.5,47,3.66,2.38898,hyRAD,1,-9.285489926,-0.279089051,1.26815626
24,EL48_ochr,AMNH,637464,1934,torotoro,ochracea,"Sewa Bay, Normanby Island",-10.03,150.98,48,3.84,2.37287,hyRAD,43,8.851035451,-27.14287023,2.047853077
25,EL49_toro,AMNH,637450,1896,torotoro,tentelare,"Wannambai, Kobror Is, Aru islands, WP",-5.95,134.57,49,10.2,3.13028,hyRAD,44,-8.977601972,0.030584521,0.2601687
26,EL51_toro,AMNH,300723,1900,torotoro,torotoro,"Misol Is, WP",-1.87,130.17,51,2.54,5.70215,hyRAD,174,-10.69156872,0.199045469,1.160056663
27,EL52_toro,AMNH,637446,1900,torotoro,torotoro,"Waigeu Is, WP",-0.23,130.75,52,0.846,2.55164,hyRAD,NA,-9.858553393,-1.541060234,-0.82887109
28,EL53_toro,AMNH,300723,1897,torotoro,torotoro,"Kepaur, WP",-2.92,132.3,53,1.07,2.33299,hyRAD,161,-10.77630775,-1.190250697,1.646019706
29,EL54_toro,NHMUK,1911.12.20.823,1913,torotoro,pseuestes,"Parimau, Mimika River, WP",-4.31,136.51,54,1.49,5.00778,hyRAD,48,-10.42745877,-3.247383184,-0.276800661
30,EL55_toro,NHMUK,1911.12.20.822,1911,torotoro,pseuestes,"Satakwa River, Canoe Camp, WP",-4.78,137.34,55,0.584,2.77603,hyRAD,23,-10.57292804,-0.011583691,-1.149011796
31,EL57_toro,AMNH,637441,1899,torotoro,torotoro,"Mt. Mori (Maori), Arfak Mountains, WP",-1.3,134.16,57,7.36,5.9953,hyRAD,325,-14.72457563,-6.392960031,34.76871867
32,EL59_toro,AMNH,293714,1928,torotoro,torotoro,"Ifaar (near Jayapyura), WP",-2.57,140.52,59,0.124,9.34637,hyRAD,98,-11.28846837,-0.394160792,-1.217349193
33,EL6_mega,AMNH,339957,1939,megarhyncha,wellsi,"Bernhard Camp, WP",-4.04,137.07,6,19.4,2.23675,WGS,4350,18.63132695,3.331784488,2.192012888
