"","prep_ID","museum","sample","year","sp","ssp","locality","lat","long","order","qubit","coverage","sequencing_strategy","PC1","PC2","PC3"
"1","EL1_mega","YPM","91444",1969,"megarhyncha","sellamontis","Huon, PNG",-7.3667,146.6667,1,90.9,10.2474,"WGS",-14.9232721129133,-2.67300287308428,-0.534533258892783
"2","EL10_toro","AMNH","637460",1900,"torotoro","tentelare","Aru is",-5.95,134.57,10,6.88,5.51163,"WGS",8.19623964902945,-4.21103562410084,2.62327858811283
"3","EL11_toro","AMNH","637471",1899,"torotoro","meeki","simbang",-6.56,147.82,11,9.92,2.38898,"WGS",4.0860316491011,-4.82847007269318,5.80167471861752
"4","EL13_toro","AMNH","637511",1913,"torotoro","flavirostris","Cape York",-12.576589,143.3037,13,6.71,8.08111,"WGS",4.80589704478825,-4.94851515610784,7.11566914066395
"5","EL18_mega","AMNH","808986",1965,"megarhyncha","megarhyncha","Okapa",-6.516667,145.616667,18,44.6,10.6132,"WGS",-13.4347896192772,-1.53921134769657,-0.634707681145925
"6","EL19_mega","ANWC","B02192",1963,"megarhyncha","megrhyncha","Western PNG",-5.9917,144.6167,19,69.2,2.52642,"WGS",-13.6219449316399,-2.37245336929571,-0.473523734791023
"7","EL20_mega","ANWC","B04293",1966,"megarhyncha","megarhyncha","Morobe",-5.873333333,146.7183333,20,47.1,6.64783,"WGS",-13.0806077794125,-1.63792750583399,-0.794282844056812
"8","EL21_toro","ANWC","B07499",1966,"torotoro","torotoro","East Sepik",-3.683,143.633,21,18,6.7872,"WGS",7.11828869906681,-3.84493331650191,2.1138960615621
"9","EL23_mega","ANWC","B25307",1973,"megarhyncha","megarhyncha","Wagau",-6.8,146.8,23,86.3,9.34637,"WGS",-13.475060153472,-1.67442286399463,-0.786686529562669
"10","EL24_mega","ANWC","B26140",1973,"megarhyncha","sellamontis","Huon",-6.4583,147.4333,24,80.1,2.69099,"WGS",-13.1318874871786,-2.54078765676001,-0.141767454500275
"11","EL27_mega","AMNH","301861",1931,"megarhyncha","wellsi","Weylendgep Kunupi",-3.92,135.65,27,12.75,11.0818,"WGS",-24.8598419897838,-13.3052477381962,-9.82988855256823
"12","EL29_ochr","AMNH","329539",1928,"torotoro","ochracea","Fergusson Is",-9.5,150.666667,29,6.4,8.66904,"WGS",-15.3285157062562,18.6762516380937,9.62846604299723
"13","EL32_toro","AMNH","426096",1936,"torotoro","flavirostris","Fly River",-8.25,142.98,32,17.2,2.67085,"WGS",1.8270786618915,-2.43821420512163,0.884019770902125
"14","EL39_toro","ANWC","B07293",1966,"torotoro","torotoro","E. Sepik",-3.683,143.633,39,15.6,11.4052,"WGS",6.26164832981935,-5.03673524119173,2.95510878328054
"15","EL4_mega","AMNH","302859",1930,"megarhyncha","wellsi","Mt. Derimapa, WP",-3.63,134.93,4,18.9,2.21967,"WGS",-17.6799223880087,-2.55453030742781,-2.09436135195499
"16","EL47_toro","AMNH","329542",1928,"torotoro","torotoro","Wasior, WP",-2.72,134.5,47,3.66,2.38898,"hyRAD",13.1684500299708,0.0859184966987348,1.65643081941921
"17","EL48_ochr","AMNH","637464",1934,"torotoro","ochracea","Sewa Bay, Normanby Island",-10.03,150.98,48,3.84,2.37287,"hyRAD",-7.29366305670395,45.0347440855985,-0.129324226173612
"18","EL49_toro","AMNH","637450",1896,"torotoro","tentelare","Wannambai, Kobror Is, Aru islands, WP",-5.95,134.57,49,10.2,3.13028,"hyRAD",11.2638133450026,-0.387304054949903,0.625138202240611
"19","EL51_toro","AMNH","300723",1900,"torotoro","torotoro","Misol Is, WP",-1.87,130.17,51,2.54,5.70215,"hyRAD",15.852230721532,-1.31976158628338,4.66905493053309
"20","EL52_toro","AMNH","637446",1900,"torotoro","torotoro","Waigeu Is, WP",-0.23,130.75,52,0.846,2.55164,"hyRAD",15.8314288948089,1.43493357021421,6.71514358147785
"21","EL53_toro","AMNH","300723",1897,"torotoro","torotoro","Kepaur, WP",-2.92,132.3,53,1.07,2.33299,"hyRAD",15.5818892338886,0.597198009127226,2.18961874866348
"22","EL54_toro","NHMUK","1911.12.20.823",1913,"torotoro","pseuestes","Parimau, Mimika River, WP",-4.31,136.51,54,1.49,5.00778,"hyRAD",16.0877983171657,4.55022617416537,-43.9406831944527
"23","EL55_toro","NHMUK","1911.12.20.822",1911,"torotoro","pseuestes","Satakwa River, Canoe Camp, WP",-4.78,137.34,55,0.584,2.77603,"hyRAD",16.7103460121191,1.13193602573847,0.939207886688449
"24","EL59_toro","AMNH","293714",1928,"torotoro","torotoro","Ifaar (near Jayapyura), WP",-2.57,140.52,59,0.124,9.34637,"hyRAD",15.917364473492,-0.275788427100383,2.16351638399203
"25","EL6_mega","AMNH","339957",1939,"megarhyncha","wellsi","Bernhard Camp, WP",-4.04,137.07,6,19.4,2.23675,"WGS",-17.2723504630731,-3.72165412547569,-1.70372608477367
"26","EL60_toro","AMNH","293715",1928,"torotoro","torotoro","Kepaur, WP",-2.72,134.5,60,0.15,8.66904,"hyRAD",17.1370088938718,-0.061455244884174,3.33560681390585
"27","EL8_toro","AMNH","426095",1936,"torotoro","flavirostris","Fly River, PNG",-8.25,142.98,8,6.72,2.83649,"WGS",8.71038213570962,-3.20198216557988,2.39978714490472
"28","EL9_toro","AMNH","426121",1937,"torotoro","meeki","Wassi Kussi R, PNG",-9.166667,142.066667,9,13.1,2.43389,"WGS",4.4433606762219,-3.85040925916674,4.71406393783311
