"","prep_ID","museum","sample","year","sp","ssp","locality","lat","long","order","qubit","coverage","sequencing_strategy","PC1","PC2","PC3"
"1","EL1_mega","YPM","91444",1969,"megarhyncha","sellamontis","Huon, PNG",-7.3667,146.6667,1,90.9,10.2474,"WGS",16.8513688561596,-2.748867190896,-0.713300831274176
"2","EL10_toro","AMNH","637460",1900,"torotoro","tentelare","Aru is",-5.95,134.57,10,6.88,5.51163,"WGS",-6.92772125760733,-3.96259092165511,2.31417195547566
"3","EL11_toro","AMNH","637471",1899,"torotoro","meeki","simbang",-6.56,147.82,11,9.92,2.38898,"WGS",-2.46303625320218,-4.66189436707865,6.37100307005627
"4","EL13_toro","AMNH","637511",1913,"torotoro","flavirostris","Cape York",-12.576589,143.3037,13,6.71,8.08111,"WGS",-2.99078659540776,-4.75068568660639,7.72494607722289
"5","EL18_mega","AMNH","808986",1965,"megarhyncha","megarhyncha","Okapa",-6.516667,145.616667,18,44.6,10.6132,"WGS",15.353054241438,-1.56101273242629,-0.887513718714732
"6","EL19_mega","ANWC","B02192",1963,"megarhyncha","megrhyncha","Western PNG",-5.9917,144.6167,19,69.2,2.52642,"WGS",15.4911743487193,-2.48931527244346,-0.628517794271035
"7","EL20_mega","ANWC","B04293",1966,"megarhyncha","megarhyncha","Morobe",-5.873333333,146.7183333,20,47.1,6.64783,"WGS",14.7941114997884,-1.60561686261385,-0.796780880678391
"8","EL21_toro","ANWC","B07499",1966,"torotoro","torotoro","East Sepik",-3.683,143.633,21,18,6.7872,"WGS",-5.81434140765522,-3.51280101945878,1.73971602427239
"9","EL23_mega","ANWC","B25307",1973,"megarhyncha","megarhyncha","Wagau",-6.8,146.8,23,86.3,9.34637,"WGS",15.3966345185657,-1.73980481384856,-0.972773050172471
"10","EL24_mega","ANWC","B26140",1973,"megarhyncha","sellamontis","Huon",-6.4583,147.4333,24,80.1,2.69099,"WGS",14.8191548042167,-2.7514142297444,-0.21785440213671
"11","EL27_mega","AMNH","301861",1931,"megarhyncha","wellsi","Weylendgep Kunupi",-3.92,135.65,27,12.75,11.0818,"WGS",26.5656712517106,-13.2894727239352,-12.9257737355014
"12","EL29_ochr","AMNH","329539",1928,"torotoro","ochracea","Fergusson Is",-9.5,150.666667,29,6.4,8.66904,"WGS",17.1832172744657,17.4674821304197,14.1985998004236
"13","EL32_toro","AMNH","426096",1936,"torotoro","flavirostris","Fly River",-8.25,142.98,32,17.2,2.67085,"WGS",-1.38782113942721,-2.31106362115016,0.802845500008834
"14","EL39_toro","ANWC","B07293",1966,"torotoro","torotoro","E. Sepik",-3.683,143.633,39,15.6,11.4052,"WGS",-5.04495235900921,-4.77321765717351,2.87660317800788
"15","EL4_mega","AMNH","302859",1930,"megarhyncha","wellsi","Mt. Derimapa, WP",-3.63,134.93,4,18.9,2.21967,"WGS",19.63723543401,-2.37758374565869,-2.72733966908563
"16","EL6_mega","AMNH","339957",1939,"megarhyncha","wellsi","Bernhard Camp, WP",-4.04,137.07,6,19.4,2.23675,"WGS",19.6597884821109,-3.5736684304038,-2.97044229933806
"17","EL8_toro","AMNH","426095",1936,"torotoro","flavirostris","Fly River, PNG",-8.25,142.98,8,6.72,2.83649,"WGS",-7.46383647190931,-2.88202666578265,1.99924568008813
"18","EL9_toro","AMNH","426121",1937,"torotoro","meeki","Wassi Kussi R, PNG",-9.166667,142.066667,9,13.1,2.43389,"WGS",-3.01380250019772,-3.61339481710941,5.16942689552691
