"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date"
"301448","Syma","torotoro","","Yellow-billed Kingfisher","Gareth K.","Indonesia","Nimbokrang","-2.5589","140.0684","song","http://www.xeno-canto.org/301448/download","http://creativecommons.org/licenses/by-nc-sa/4.0/","http://www.xeno-canto.org/301448","A","08:30","2015-10-21"
"163435","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Frank Lambert","Indonesia","North Salawati, Raja Ampat, West Papua","-0.9471","130.7952","song","http://www.xeno-canto.org/163435/download","http://creativecommons.org/licenses/by-nc-nd/4.0/","http://www.xeno-canto.org/163435","A","06:45","2013-08-01"
"104967","Syma","torotoro","flavirostris","Yellow-billed Kingfisher","Eliot Miller","Australia","Iron Range National Park, QLD","-12.6739","143.3353","song","http://www.xeno-canto.org/104967/download","http://creativecommons.org/licenses/by-nc-nd/2.5/","http://www.xeno-canto.org/104967","A","?","2010-11-00"
"70362","Syma","torotoro","ochracea","Yellow-billed Kingfisher","David Gibbs","Papua New Guinea","D'Entrecasteaux Archipelago, Fergusson, Nade","-9.6639","150.7101","song","http://www.xeno-canto.org/70362/download","http://creativecommons.org/licenses/by-nc-nd/2.5/","http://www.xeno-canto.org/70362","A","?","1993-00-00"
"41017","Syma","torotoro","","Yellow-billed Kingfisher","Patrik Åberg","Indonesia","Salawati Island, Papua Barat ","-1.108863","130.878754","Song","http://www.xeno-canto.org/41017/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/41017","A","?","2009-07-26"
"23210","Syma","torotoro","torotoro","Yellow-billed Kingfisher","George Wagner","Indonesia","Jalan Korea, near Nimbokrang Village, Papua, New Guinea","-2.5589","140.0684","song","http://www.xeno-canto.org/23210/download","http://creativecommons.org/licenses/by-nc-nd/2.5/","http://www.xeno-canto.org/23210","A","09:00","2008-08-01"
"267900","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Frank Lambert","Papua New Guinea","Kiunga Km17 on road to Tabubil","-5.9542","141.2884","song","http://www.xeno-canto.org/267900/download","http://creativecommons.org/licenses/by-nc-nd/4.0/","http://www.xeno-canto.org/267900","B","16:39","2015-07-21"
"156288","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Hans Matheve","Indonesia","Nimbokrang","-2.5589","140.0684","song","http://www.xeno-canto.org/156288/download","http://creativecommons.org/licenses/by-nc-nd/3.0/","http://www.xeno-canto.org/156288","B","?","2009-07-30"
"141088","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Bas van Balen","Indonesia","Tangguh, West Papua","-2.4997","133.1694","song","http://www.xeno-canto.org/141088/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/141088","B","11:40","2002-04-04"
"141087","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Bas van Balen","Indonesia","Tangguh, West Papua","-2.4997","133.1694","song","http://www.xeno-canto.org/141087/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/141087","B","09:15","2002-03-27"
"141086","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Bas van Balen","Indonesia","Tangguh, West Papua","-2.4997","133.1694","song","http://www.xeno-canto.org/141086/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/141086","B","06:50","2002-03-27"
"141085","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Bas van Balen","Indonesia","Tangguh, West Papua","-2.4997","133.1694","song","http://www.xeno-canto.org/141085/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/141085","B","14:55","2002-03-23"
"140696","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Bas van Balen","Indonesia","Dabra, Southern Mamberamo basin, Papua","-2.9124","138.3838","song","http://www.xeno-canto.org/140696/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/140696","B","09:30","2000-09-04"
"140360","Syma","torotoro","pseustes","Yellow-billed Kingfisher","Bas van Balen","Indonesia","East Levee, Freeport, Papua","-4.6202","136.983","song","http://www.xeno-canto.org/140360/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/140360","B","09:38","2002-04-08"
"140359","Syma","torotoro","pseustes","Yellow-billed Kingfisher","Bas van Balen","Indonesia","East Levee, Freeport, Papua","-4.6202","136.983","song","http://www.xeno-canto.org/140359/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/140359","B","09:38","2002-04-08"
"104965","Syma","torotoro","flavirostris","Yellow-billed Kingfisher","Eliot Miller","Australia","Iron Range National Park, QLD","-12.6739","143.3353","song","http://www.xeno-canto.org/104965/download","http://creativecommons.org/licenses/by-nc-nd/2.5/","http://www.xeno-canto.org/104965","B","?","2010-11-00"
"38640","Syma","torotoro","","Yellow-billed Kingfisher","Mike Catsis","Papua New Guinea","Varirata National Park, National Capital District ","-9.4667","147.3834","song","http://www.xeno-canto.org/38640/download","http://creativecommons.org/licenses/by-nc-nd/2.5/","http://www.xeno-canto.org/38640","B","am","2008-07-29"
"24796","Syma","torotoro","meeki","Yellow-billed Kingfisher","Niels Krabbe","Papua New Guinea","below Varirata National Park, National Capital District ","-9.4334","147.3667","rest afterpb), song (first 11 s natural","http://www.xeno-canto.org/24796/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/24796","B","14:45","2007-01-02"
"24795","Syma","torotoro","meeki","Yellow-billed Kingfisher","Niels Krabbe","Papua New Guinea","Varirata National Park, National Capital District ","-9.4667","147.3834","song (first 21 s natural, rest afterpb)","http://www.xeno-canto.org/24795/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/24795","B","06:30","2006-12-23"
"23196","Syma","torotoro","","Yellow-billed Kingfisher","Michiel de Boer","Indonesia","Jalan Korea, near Nimbokrang Village, Papua, New Guinea","-2.5589","140.0684","Song","http://www.xeno-canto.org/23196/download","http://creativecommons.org/licenses/by-nc-nd/2.5/","http://www.xeno-canto.org/23196","B","?","2008-08-01"
"18704","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Nick Athanas","Papua New Guinea","Elevala River, Western Province","-6.0834","141.5001","song","http://www.xeno-canto.org/18704/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/18704","B","10:48","2007-06-15"
"118803","Syma","torotoro","torotoro","Yellow-billed Kingfisher","Niels Poul Dreyer","Papua New Guinea","Ekame Lodge, Elevala River, not far from Kiunga, Western Province","-6.0814","141.5034","song","http://www.xeno-canto.org/118803/download","http://creativecommons.org/licenses/by-nc-sa/3.0/","http://www.xeno-canto.org/118803","C","07:00","1990-07-22"
"279410","Syma","megarhyncha","sellamontis","Mountain Kingfisher","John V. Moore","Papua New Guinea","Boana, Morobe Province","-6.432","146.822","song","http://www.xeno-canto.org/279410/download","http://creativecommons.org/licenses/by-nc-sa/4.0/","http://www.xeno-canto.org/279410","C","?","1996-08-17"
