"","value","parameter"
"1",1944441.94315598,"nTor"
"2",1905502.07108484,"nTor"
"3",1910816.23548845,"nTor"
"4",1919700.03588762,"nTor"
"5",1904424.40219109,"nTor"
"6",1962980.42096904,"nTor"
"7",1885823.82123258,"nTor"
"8",1921422.02772358,"nTor"
"9",1914586.68211528,"nTor"
"10",1926185.173931,"nTor"
"11",1908792.64199609,"nTor"
"12",1901573.23026607,"nTor"
"13",1927050.08998,"nTor"
"14",1879851.03591272,"nTor"
"15",1923452.74619922,"nTor"
"16",1928031.43607264,"nTor"
"17",1912623.25313132,"nTor"
"18",1920815.364631,"nTor"
"19",1882677.87390727,"nTor"
"20",1963667.34399182,"nTor"
"21",1902090.97044555,"nTor"
"22",1926754.77997087,"nTor"
"23",1914700.77905277,"nTor"
"24",1922388.31731838,"nTor"
"25",1906349.53638635,"nTor"
"26",1890303.59657308,"nTor"
"27",1919763.28271502,"nTor"
"28",1941118.85142388,"nTor"
"29",1912082.44772102,"nTor"
"30",1919442.46697308,"nTor"
"31",1896660.27850689,"nTor"
"32",1926776.37106413,"nTor"
"33",1924873.43448775,"nTor"
"34",1918623.27816436,"nTor"
"35",1880463.18048241,"nTor"
"36",1916346.57294765,"nTor"
"37",1902208.11569774,"nTor"
"38",1861910.34716639,"nTor"
"39",1913862.17421739,"nTor"
"40",1861890.42850227,"nTor"
"41",1906015.30561876,"nTor"
"42",1870003.22044806,"nTor"
"43",1885807.28933858,"nTor"
"44",1913794.04877876,"nTor"
"45",1895002.19693162,"nTor"
"46",1883195.10820598,"nTor"
"47",1917922.89652877,"nTor"
"48",1935763.47278001,"nTor"
"49",1905505.63764829,"nTor"
"50",1954642.97066164,"nTor"
"51",1917256.97190881,"nTor"
"52",1909147.06896712,"nTor"
"53",1922374.58171747,"nTor"
"54",1887451.44217695,"nTor"
"55",1871828.54666039,"nTor"
"56",1910349.65599852,"nTor"
"57",1893536.36043236,"nTor"
"58",1942488.97072573,"nTor"
"59",1938283.32276549,"nTor"
"60",1967094.96996514,"nTor"
"61",1947027.04936185,"nTor"
"62",1902192.91056107,"nTor"
"63",1949687.83787306,"nTor"
"64",1902472.1557118,"nTor"
"65",1901132.25869276,"nTor"
"66",1923341.29187759,"nTor"
"67",1897422.24664425,"nTor"
"68",1915203.02030206,"nTor"
"69",1901342.87380625,"nTor"
"70",1985782.27913191,"nTor"
"71",1886781.81435196,"nTor"
"72",1908122.70327102,"nTor"
"73",1872311.8965205,"nTor"
"74",1878958.61347119,"nTor"
"75",1877254.73468257,"nTor"
"76",1847638.66257053,"nTor"
"77",1938869.91321247,"nTor"
"78",1886492.84241976,"nTor"
"79",1959737.62910498,"nTor"
"80",1901063.12724904,"nTor"
"81",1896941.70865556,"nTor"
"82",1915045.95017599,"nTor"
"83",1911574.95262082,"nTor"
"84",1855074.08073294,"nTor"
"85",1884170.91718075,"nTor"
"86",1909738.88867885,"nTor"
"87",1899077.19479229,"nTor"
"88",1953500.24827336,"nTor"
"89",1892536.91604352,"nTor"
"90",1932466.71249339,"nTor"
"91",1889506.3024248,"nTor"
"92",1937279.34537207,"nTor"
"93",1933500.39218411,"nTor"
"94",1928834.77993152,"nTor"
"95",1916884.75465335,"nTor"
"96",1914888.33503405,"nTor"
"97",1876682.83151194,"nTor"
"98",1948878.87921012,"nTor"
"99",1917270.54643048,"nTor"
"100",1909934.43297466,"nTor"
"101",1898477.62858497,"nTor"
"102",1933270.67746862,"nTor"
"103",1913989.93310284,"nTor"
"104",1885363.01330745,"nTor"
"105",1924178.49499957,"nTor"
"106",1887535.64738632,"nTor"
"107",1880340.44212983,"nTor"
"108",1910106.19103063,"nTor"
"109",1941946.86599856,"nTor"
"110",1874295.27658361,"nTor"
"111",1931909.16037418,"nTor"
"112",1871679.33264886,"nTor"
"113",1901800.51169459,"nTor"
"114",1887062.08014619,"nTor"
"115",1924835.59948703,"nTor"
"116",1895419.78778926,"nTor"
"117",1883536.96548318,"nTor"
"118",1917449.09128836,"nTor"
"119",1893426.72270631,"nTor"
"120",1898168.62650667,"nTor"
"121",1930045.34308202,"nTor"
"122",1914614.65648965,"nTor"
"123",1901188.02511144,"nTor"
"124",1912894.47408863,"nTor"
"125",1931311.02193251,"nTor"
"126",1890726.24393905,"nTor"
"127",1895969.41598461,"nTor"
"128",1871284.12648172,"nTor"
"129",1908477.31612418,"nTor"
"130",1899872.59213807,"nTor"
"131",1911979.61098399,"nTor"
"132",1882467.45262534,"nTor"
"133",1905638.5087782,"nTor"
"134",1880162.37155384,"nTor"
"135",1951929.39394212,"nTor"
"136",1918492.51640675,"nTor"
"137",1950402.9751817,"nTor"
"138",1911882.53862713,"nTor"
"139",1873706.36160176,"nTor"
"140",1846466.62551581,"nTor"
"141",1953421.7930093,"nTor"
"142",1946693.29872386,"nTor"
"143",1924537.57246618,"nTor"
"144",1956665.85178512,"nTor"
"145",1924515.60562247,"nTor"
"146",1890686.03793765,"nTor"
"147",1862241.06231527,"nTor"
"148",1872620.92533583,"nTor"
"149",1886961.31367267,"nTor"
"150",1895093.28662866,"nTor"
"151",1899237.34637729,"nTor"
"152",1915185.05377615,"nTor"
"153",1878106.72666727,"nTor"
"154",1897140.37452657,"nTor"
"155",1902358.2117481,"nTor"
"156",1898985.76224362,"nTor"
"157",1899653.69498577,"nTor"
"158",1894520.70730895,"nTor"
"159",1905542.89469639,"nTor"
"160",1945236.3697323,"nTor"
"161",1912247.76010435,"nTor"
"162",1899482.82775516,"nTor"
"163",1933230.36260504,"nTor"
"164",1910946.50536657,"nTor"
"165",1903943.64027145,"nTor"
"166",1896717.84281005,"nTor"
"167",1872310.22372105,"nTor"
"168",1917217.21065312,"nTor"
"169",1890108.80301102,"nTor"
"170",1886630.13165949,"nTor"
"171",1931426.89297413,"nTor"
"172",1922023.37409186,"nTor"
"173",1971535.21410068,"nTor"
"174",1987764.3583805,"nTor"
"175",1925594.60440252,"nTor"
"176",1903064.06430992,"nTor"
"177",1928885.33325918,"nTor"
"178",1881710.78728942,"nTor"
"179",1944050.60567485,"nTor"
"180",1926245.68151832,"nTor"
"181",1879757.38489096,"nTor"
"182",1933672.44713603,"nTor"
"183",1916276.0742153,"nTor"
