Family,english_name,three_species_model,scientific_name,subspecies,collection,include,number,date,sex,locality,elevation,region,bill_from_nostril,bill_width,bill_depth,tarsus,wing_chord,tail_length,comments
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637551,12/24/05,f,"Sattelbeng, Huon Gulf",,,37.45,11.84,13.06,14.16,81,62,Orange head
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,808986,6/19/65,f,Awande near Okapa EHD,,,37.61,11.62,12.67,14.13,89,69,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637550,3/18/08,f,"Hydrographer Mts., W of Dyke Acland Bay, SE NG",,,35.52,12.72,12.74,14.2,82,65,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637539,2/14/06,f,"Bihagi, head of Mambare River",,,35.86,12.03,12.57,14.74,81,67,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637548,1/18/18,f,"Bihagi, head of Mambare River",,,34.65,11.32,11.49,14.82,81,72,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,329548,12/24/28,f,Papua - Mtlamington dest,,,33.79,11.49,12.52,14.44,82,62,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637546,1/28/18,m,"Hydrographer Mts., W of Dyke Acland Bay, SE NG",,,35.57,12,13.27,13.43,85,69,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637535,3/28/03,m,"Avena, Aroa River, PNG",,,38.06,11.67,12.78,13.7,83,64,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637544,3/14/18,m,"Hydrographer Mts., W of Dyke Acland Bay, SE NG",,,37.56,11.71,12.81,13.96,81,68,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637547,4/13/18,f,"Hydrographer Mts., W of Dyke Acland Bay, SE NG",,,35.3,11.14,12.56,13.48,80,65,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha megarhyncha,megarhyncha,AMNH,y,637545,1/16/18,m,"Hydrographer Mts., W of Dyke Acland Bay, SE NG",762,,34.05,12.12,12.73,14.6,85,72,
