"","chr","mid","start","stop","win.df"
"1","1",680,1,1359,-0.11025
"2","1A",1780.5,1360,2201,-0.11025
"3","2",2939.5,2202,3677,-0.11025
"4","3",4344.5,3678,5011,-0.11025
"5","4",5332.5,5012,5653,-0.11025
"6","4A",5701.5,5654,5749,-0.11025
"7","5",6024,5750,6298,-0.11025
"8","6",6488,6299,6677,-0.11025
"9","7",6898,6678,7118,-0.11025
"10","8",7245,7119,7371,-0.11025
"11","9",7471,7372,7570,-0.11025
"12","10",7667,7571,7763,-0.11025
"13","11",7851.5,7764,7939,-0.11025
"14","12",8085.5,7940,8231,-0.11025
"15","13",8295.5,8232,8359,-0.11025
"16","14",8449,8360,8538,-0.11025
"17","15",8563,8539,8587,-0.11025
"18","17",8658,8588,8728,-0.11025
"19","18",8770,8729,8811,-0.11025
"20","19",8851,8812,8890,-0.11025
"21","20",8936,8891,8981,-0.11025
"22","21-27",9129,8982,9313,-0.11025
"28","28",9349.5,9314,9385,-0.11025
"29","Z",9808,9386,10230,-0.11025
"30","NA",10283,10231,10335,-0.11025
