"","scaffold","start","end","mid","sites","pi_meg","pi_toro","dxy_meg_toro","Fst_meg_toro","windowID"
"1","scaffold_0",1,50000,25301,6355,0.073,0.0876,0.1036,0.1293,1
"2","scaffold_0",50001,100000,76225,7205,0.0979,0.12,0.1261,0.0747,2
"3","scaffold_0",100001,150000,125581,6005,0.1043,0.1166,0.1266,0.0698,3
"4","scaffold_0",150001,200000,175302,7255,0.1257,0.1364,0.1393,0.0309,4
"5","scaffold_0",200001,250000,225540,6318,0.0885,0.1119,0.1164,0.077,5
"6","scaffold_0",250001,300000,274251,6612,0.103,0.1128,0.1214,0.0602,6
"7","scaffold_0",300001,350000,324818,6511,0.0946,0.1072,0.1152,0.0676,7
"8","scaffold_0",350001,400000,374401,7252,0.0996,0.1197,0.1166,0.0315,8
"9","scaffold_0",400001,450000,425297,6348,0.1382,0.1578,0.1554,0.0248,9
"10","scaffold_0",450001,500000,475895,6273,0.093,0.1017,0.1084,0.0544,10
"11","scaffold_0",500001,550000,525533,5985,0.0481,0.0582,0.0633,0.0893,11
"12","scaffold_0",550001,600000,576118,7063,0.0443,0.0409,0.0543,0.1217,12
"13","scaffold_0",600001,650000,624635,6906,0.0816,0.0796,0.09,0.0559,13
"14","scaffold_0",650001,700000,675487,6169,0.0622,0.0646,0.0794,0.1139,14
"15","scaffold_0",700001,750000,726422,7065,0.094,0.0939,0.1005,0.0344,15
"16","scaffold_0",750001,800000,773426,5415,0.0669,0.0631,0.0816,0.1149,16
"17","scaffold_0",800001,850000,824921,6478,0.0686,0.0613,0.0748,0.0711,17
"18","scaffold_0",850001,900000,876905,5920,0.0565,0.0486,0.0591,0.0591,18
"19","scaffold_0",900001,950000,925321,6189,0.0717,0.0815,0.0889,0.0757,19
"20","scaffold_0",950001,1000000,974292,6025,0.065,0.0519,0.073,0.1111,20
"21","scaffold_0",1000001,1050000,1025548,5788,0.0813,0.0694,0.0829,0.0484,21
"22","scaffold_0",1050001,1100000,1075111,6742,0.0872,0.094,0.0981,0.0401,22
"23","scaffold_0",1100001,1150000,1125094,6037,0.0906,0.0986,0.1063,0.0595,23
"24","scaffold_0",1150001,1200000,1174134,5972,0.1104,0.1346,0.1322,0.039,24
"25","scaffold_0",1200001,1250000,1224417,6381,0.1144,0.1258,0.1273,0.0299,25
"26","scaffold_0",1250001,1300000,1274240,6893,0.0898,0.089,0.096,0.036,26
"27","scaffold_0",1300001,1350000,1326876,6546,0.1107,0.1138,0.122,0.0423,27
"28","scaffold_0",1350001,1400000,1375139,7250,0.1337,0.1154,0.1352,0.0414,28
"29","scaffold_0",1400001,1450000,1426137,6978,0.1315,0.1329,0.1389,0.0251,29
"30","scaffold_0",1450001,1500000,1474652,5622,0.0928,0.1115,0.1133,0.0528,30
"31","scaffold_0",1500001,1550000,1524043,5655,0.0957,0.091,0.1006,0.0379,31
"32","scaffold_0",1550001,1600000,1576074,5900,0.1308,0.1437,0.1451,0.0285,32
"33","scaffold_0",1600001,1650000,1624485,5978,0.066,0.0692,0.0763,0.0611,33
"34","scaffold_0",1650001,1700000,1675128,6006,0.054,0.0579,0.0632,0.0619,34
"35","scaffold_0",1700001,1750000,1725708,5040,0.0675,0.0661,0.0749,0.0582,35
"36","scaffold_0",1750001,1800000,1776105,5444,0.0661,0.0619,0.0737,0.0709,36
"37","scaffold_0",1800001,1850000,1825227,5287,0.0717,0.0682,0.0824,0.0829,37
"38","scaffold_0",1850001,1900000,1875131,5666,0.0632,0.0706,0.0798,0.0898,38
"39","scaffold_0",1900001,1950000,1924833,6411,0.0587,0.0529,0.0657,0.0823,39
"40","scaffold_0",1950001,2000000,1974308,6434,0.0689,0.0595,0.0734,0.0672,40
"41","scaffold_0",2000001,2050000,2024265,5733,0.0531,0.0457,0.0603,0.0998,41
"42","scaffold_0",2050001,2100000,2074894,5902,0.053,0.047,0.0545,0.0435,42
"43","scaffold_0",2100001,2150000,2123182,5487,0.1008,0.0902,0.1071,0.0576,43
"44","scaffold_0",2150001,2200000,2173770,5407,0.0767,0.0657,0.0923,0.1298,44
"45","scaffold_0",2200001,2250000,2224854,5625,0.0501,0.0488,0.0582,0.0822,45
"46","scaffold_0",2250001,2300000,2274715,4966,0.0841,0.074,0.0875,0.0508,46
"47","scaffold_0",2300001,2350000,2324094,4140,0.0723,0.0743,0.0801,0.0451,47
"48","scaffold_0",2350001,2400000,2374997,5370,0.0562,0.0563,0.0612,0.0422,48
"49","scaffold_0",2400001,2450000,2425726,5827,0.0517,0.0527,0.0576,0.0495,49
"50","scaffold_0",2450001,2500000,2474537,5246,0.0641,0.0531,0.0646,0.0493,50
"51","scaffold_0",2500001,2550000,2526406,5056,0.0524,0.0523,0.0607,0.0753,51
"52","scaffold_0",2550001,2600000,2574396,6120,0.0991,0.1073,0.1136,0.0491,52
"53","scaffold_0",2600001,2650000,2625774,5657,0.0822,0.0942,0.0969,0.0482,53
"54","scaffold_0",2650001,2700000,2672347,6540,0.0853,0.0938,0.095,0.03,54
"55","scaffold_0",2700001,2750000,2723428,6222,0.0888,0.0884,0.098,0.0512,55
"56","scaffold_0",2750001,2800000,2774469,5340,0.0823,0.0839,0.0918,0.0504,56
"57","scaffold_0",2800001,2850000,2826382,4689,0.1093,0.1093,0.1188,0.0421,57
"58","scaffold_0",2850001,2900000,2875924,5323,0.0495,0.0532,0.0606,0.0842,58
